shoulder_width_ratio,hip_width_ratio,shoulder_hip_ratio,torso_ratio,upper_leg_ratio,lower_leg_ratio,crural_index,upper_arm_ratio,forearm_ratio,ape_index,cog_ratio,upper_body_ratio,sport,gender
0.27298902646443884,0.14659668116319297,1.8621773992314639,0.34253452139230484,0.28114059116019685,0.21267618234658064,0.7564762579068331,0.21388929545384375,0.07793761070159043,0.5836538123108683,0.5064956223245486,0.5086423798142858,archery,male
0.18295325233131118,0.10918304044998715,1.675656325169984,0.49041508848928334,0.25065372541358305,0.413900606155011,1.6512844781064704,0.2510775932542108,0.2077277766563263,0.9176107398210742,0.653876470798614,0.6569342239698197,archery,male
0.2361183907670776,0.12102895523476981,1.9509248039781835,0.3519625241817563,0.27905872459762765,0.21750658447043533,0.7794294365247177,0.18890219235173578,0.1469408731521477,0.671686131007767,0.5042051628004577,0.5042109729726486,archery,male
0.23074859099003525,0.13004027959462625,1.7744393637828708,0.36141972228242214,0.27431885960973074,0.22762705160221983,0.8297900185428787,0.19143935743577317,0.16503751180660642,0.7129537384847593,0.5000773929959248,0.5000824573637164,archery,male
0.23082898395143134,0.13687248520212145,1.6864527856753901,0.35892821102287287,0.26418588455443753,0.24166663440531122,0.9147598283416765,0.1861163773781626,0.1523442690170591,0.6769212927904434,0.49554391602326286,0.49570263153370875,archery,male
0.19535816700431588,0.13340260663254772,1.4644254106849826,0.4082378123058638,0.09642751208914603,0.3285391282261057,3.4071098704939664,0.2393980747261031,0.10569837849080413,0.6901929064338145,0.6130343539372644,0.6130350744003629,archery,male
0.21359581252198448,0.1291160174039356,1.6542936873103542,0.3613432422123676,0.28142924830207067,0.2501731089525074,0.8889378430346563,0.18283525091219516,0.1665019800273983,0.6986744618791869,0.4721876243485737,0.47785316911174763,archery,male
0.18265269124840497,0.1195941132861813,1.5272715874512017,0.3664030735345859,0.262726892479404,0.26131388107781733,0.9946217481269168,0.14830279186413198,0.1918530172181381,0.6803116181645402,0.47683297625010085,0.47688939664842206,archery,male
0.21995712834009712,0.13725109959267126,1.6025891886686354,0.3753742571428031,0.2635350709676721,0.2447782098168044,0.9288259392497761,0.14130219827227927,0.18666351171257076,0.6559314199697001,0.49504614697231314,0.49968028526353186,archery,male
0.24061846993369418,0.13302492043426561,1.8088225059498984,0.34725950456932814,0.28223654599171694,0.22831043059140801,0.8089329104747068,0.18289912935921024,0.1314144378815033,0.628627134481427,0.4895792832805036,0.48992542109349707,archery,male
0.19178800799498333,0.12071310143345514,1.5887919846107947,0.3673623812104068,0.2762863151504237,0.26740340049291095,0.9678488793312964,0.16304812471255598,0.1716530296031667,0.6694023086314453,0.4601942144165158,0.4624581521520389,archery,male
0.21572498295305062,0.12203227387195534,1.7677699194510146,0.3803301884961998,0.27282880920940517,0.2369009081026953,0.8683133895910017,0.18836623416937404,0.10479391199125981,0.5863202923212677,0.49313678557164586,0.498015092170627,archery,male
0.232116074883339,0.13236271094655733,1.75363645261888,0.361301512070933,0.2621520605816976,0.2416370291947212,0.9217437721395172,0.17257388551005554,0.12606925020159668,0.5972862714233044,0.49675796596275906,0.4980252989276025,archery,male
0.229913043814965,0.13254746538870166,1.7345714091230202,0.34040266148571513,0.27172941985213406,0.23581895506999734,0.8678447670418684,0.17229676498417906,0.12156727511969974,0.5877280802077576,0.4945041383087861,0.49493772807488307,archery,male
0.2533974918014309,0.1398782500644038,1.811557491495352,0.34626094439499766,0.2983669310398051,0.22905906818175975,0.7677093013742899,0.19410596506982303,0.12335313956628309,0.6349182092722122,0.4728714585933488,0.472888640012422,archery,male
0.25731326085625705,0.13910608934801907,1.8497627390883251,0.35474902766593785,0.271433634668035,0.24312318396192,0.8957002851148539,0.19799815253279907,0.11849761003017603,0.6329915251259502,0.48881855840431504,0.4890967523494049,archery,male
0.24347989145631452,0.15708394797955166,1.5499985491070636,0.35353157135984203,0.29155825566749377,0.2367164547528585,0.8119010528819347,0.22525673248613604,0.15862726660567616,0.7677679981836244,0.47309911771150537,0.47310982490904385,athletics,male
0.16378255810787043,0.09269896542679502,1.7668218556032387,0.36218223426866325,0.2655872411776856,0.22682270453854025,0.8540421728572014,0.18924324435567508,0.13040022021860914,0.6392869291485684,0.5174694514462769,0.5361305486395022,basketball,male
0.23339572451641707,0.14029381757282952,1.663620881905622,0.3436937132113311,0.2678456055610531,0.2607711352656221,0.9735875065763646,0.17313462819270192,0.15539624540529254,0.6570617471959889,0.47316292761495554,0.473169973925114,basketball,male
0.1885116201549379,0.11295666016054853,1.6688845074473777,0.378580361651468,0.2698064249313276,0.25721910355821775,0.9533468434774537,0.19707413775350602,0.17050160680493365,0.7351514891168793,0.4771446328473567,0.481495295321902,basketball,male
0.2325752461272352,0.10818803740957801,2.149731631111418,0.33912519243248507,0.2549283000491789,0.29945890863195074,1.174678953157344,0.19778729362861863,0.17412561597696335,0.743825819211164,0.4481702057653207,0.45182667984484454,basketball,male
0.21965475233514667,0.11965452787281115,1.835741248075731,0.3773782929093591,0.27781732963809885,0.2532806153688283,0.9116804041661708,0.18423537864677417,0.19115678935436417,0.7507843360022767,0.4868476161026122,0.4884274851280105,basketball,male
