shoulder_width_ratio,hip_width_ratio,shoulder_hip_ratio,torso_ratio,upper_leg_ratio,lower_leg_ratio,crural_index,upper_arm_ratio,forearm_ratio,ape_index,cog_ratio,upper_body_ratio,sport,gender
0.22855401483708318,0.1270964662846154,1.798271985983208,0.3445287627427496,0.29124002781374053,0.22426000886453534,0.7700178115899592,0.17214873138328926,0.14710979988939765,0.6385170625453739,0.48490753534064096,0.48529540645340524,archery,female
0.20677214638681607,0.11734636499182623,1.762066906812314,0.3731449814689186,0.2705754728181695,0.2589406689602173,0.9569997836952094,0.15189434808393132,0.1534092361804866,0.6106071685288358,0.47186694255933476,0.4718807958477853,archery,female
0.19671228990908404,0.11618514081744563,1.6930933553557046,0.37299051478137574,0.2726592006875911,0.2574755991536093,0.9443128950143921,0.1572322156907715,0.16729236694633917,0.6490491652742213,0.47080993232553914,0.47297851705346977,archery,female
0.2306297774454976,0.13163498987567454,1.7520400743246212,0.3472482145044813,0.28846590686221435,0.2395009548437543,0.8302574035487384,0.18172787849515964,0.10393687715414077,0.5713295112986009,0.4729289766163814,0.4808093904181109,archery,female
0.21450648515904944,0.13148361217597304,1.631431336644155,0.3546932325691536,0.2754535518615089,0.2514781885005444,0.9129604131116134,0.1722346601580197,0.11250151853306427,0.569472357382168,0.4736562085065594,0.47394031703017425,archery,female
0.21703863230964307,0.13001157719795703,1.6693792736563584,0.35735230145864694,0.27047679336054703,0.25155733670287267,0.9300514605241766,0.20365146380365692,0.12415064348903015,0.6556042145853742,0.4780764884335162,0.47842511730335013,archery,female
0.2174491259047228,0.13761415626393728,1.5801363159736699,0.35663603303119884,0.279537445339447,0.24179391848783668,0.8649786370989485,0.18437652050724387,0.15783404965284112,0.6844211403201701,0.4802886067638249,0.48031044921210925,archery,female
0.22448583140932807,0.1358104134067082,1.6529353366819206,0.3568973293961338,0.26262813669796975,0.24828354211723017,0.9453805873159877,0.20083468942636967,0.13329625028258427,0.6682618794179078,0.49233388639582903,0.5084878190777082,archery,female
0.21720004560171202,0.12763288937054443,1.701756080841638,0.34305274981484,0.2789996448165605,0.2295048745593575,0.8225991639174117,0.18863154489569886,0.1528172519982579,0.6828975937879135,0.4923168388126023,0.4966661084352718,archery,female
0.1519669634910128,0.10482605987787064,1.4497059573551125,0.3417321383344133,0.26216373639213,0.25604118086069827,0.9766460624352945,0.19268592914300586,0.13633831811189126,0.6580484945097943,0.4824873701094434,0.4902812120753946,archery,female
0.1312910243357013,0.08690410644372927,1.5107574280245635,0.3536118901114785,0.270999805952227,0.2520650511182657,0.9301300059332913,0.18006855189545015,0.14879882181701165,0.6577347474249235,0.47746421480866674,0.49339596112205625,archery,female
